"iso3","country_name","region","sub_region","culture","area","landlocked","island_state","commu _pre_dis_ussr","west_europe","sub_saharan_africa","latin_america","MENA","former_commu","Pop_2015","Pop_2016","Pop_2017","Pop_2018","Pop_2019","Pop_2020","Pop_2021","Pop_2022","Pop_2023","GDPpc2015","GDPpc2016","GDPpc2017","GDPpc2018","GDPpc2019","GDPpc2020","GDPpc2021","GDPpc2022","GDPpc2023","2015Status","2015PR rating","2015CL rating","2015PR","2015CL","2016Status","2016PR rating","2016CL rating","2016PR","2016CL","2017Status","2017PR rating","2017CL rating","2017PR","2017CL","2018Status","2018PR rating","2018CL rating","2018PR","2018CL","2019Status","2019PR rating","2019CL rating","2019PR","2019CL","2020Status","2020PR rating","2020CL rating","2020PR","2020CL","2021Status","2021PR rating","2021CL rating","2021PR","2021CL","2022Status","2022PR rating","2022CL rating","2022PR","2022CL","2023Status","2023PR rating","2023CL rating","2023PR","2023CL","total_fh_2015","total_fh_2016","total_fh_2017","total_fh_2018","total_fh_2019","total_fh_2020","total_fh_2021","total_fh_2022","total_fh_2023","diffusion_fh_2015","diffusion_fh_2016","diffusion_fh_2017","diffusion_fh_2018","diffusion_fh_2019","diffusion_fh_2020","diffusion_fh_2021","diffusion_fh_2022","diffusion_fh_2023","Pop_log_2015","Pop_log_2016","Pop_log_2017","Pop_log_2018","Pop_log_2019","Pop_log_2020","Pop_log_2021","Pop_log_2022","Pop_log_2023","Pop_cat_2015","Pop_cat_2016","Pop_cat_2017","Pop_cat_2018","Pop_cat_2019","Pop_cat_2020","Pop_cat_2021","Pop_cat_2022","Pop_cat_2023","GDPpc_log_2015","GDPpc_log_2016","GDPpc_log_2017","GDPpc_log_2018","GDPpc_log_2019","GDPpc_log_2020","GDPpc_log_2021","GDPpc_log_2022","GDPpc_log_2023","area_log","lat_log","Pop_Density_2015","Pop_Density_2016","Pop_Density_2017","Pop_Density_2018","Pop_Density_2019","Pop_Density_2020","Pop_Density_2021","Pop_Density_2022","Pop_Density_2023","Pop_Density_log_2015","Pop_Density_log_2016","Pop_Density_log_2017","Pop_Density_log_2018","Pop_Density_log_2019","Pop_Density_log_2020","Pop_Density_log_2021","Pop_Density_log_2022","Pop_Density_log_2023","central_asia","east_asia","southeast_asia","south_asia","nordic","eastern_europe","mediterranean","carribbean","north_america","pacific_island","not_defined","Asia","Americas","Africa","Europe","Oceania","srNorth_Africa","srWest_Africa","srCentral_Africa","srEast_Africa","srSouthern_Africa","srCaucasus","srCentral_Asia","srMiddle_East","srEast_Asia","srSoutheast_Asia","srSouth_Asia","srNordic","srWestern_Europe","srEast_Central_Europe","srBalkans","srSouthern_Europe","srNorth_America","srCentral_America","srCarribbean","srSouth_America","srOceania"
"AFG","Afghanistan","Asia","Central Asia","MENA",652225,1,0,"Post Communist",0,0,0,1,1,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1992.42439419795,"NF",6,6,11,13,"NF",6,6,10,14,"NF",6,6,10,14,"NF",5,6,12,14,"NF",5,6,13,14,"NF",5,6,13,14,"NF",5,6,13,14,"NF",7,6,1,9,"NF",7,7,1,7,24,24,24,26,27,27,27,10,8,50.1855742983524,49.513064081653,48.8680452806896,48.5740905295604,48.0386003536827,47.8339218490937,47.1346096945556,46.6620541921776,46.5299269771316,17.3369106824658,17.3622678816492,17.3903512547297,17.4194593507159,17.449303242078,17.4808393341072,17.5044003120252,17.51875735573,17.5401132942282,"Large","Large","Large","Large","Large","Large","Large","Large","Large",7.99553984794554,7.99253412500869,7.99057651465584,7.97329054246104,7.98181703567384,7.9264891433127,7.67050621041737,7.59171547216147,7.59710746474893,13.3881448734028,4.37952350445576,51.8713082141899,53.2034374640653,54.7187473647898,56.3349135651041,58.0415056153935,59.901075549082,61.329160949059,62.2160174786308,63.5589880792671,3.948765809063,3.9741230082464,4.00220638132694,4.03131447731308,4.06115836867528,4.09269446070447,4.11625543862239,4.13061248232726,4.1519684208254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB","Albania","Europe","Balkans","Eastern European",28748,0,0,"Post Communist",0,0,0,0,1,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,13110.6178808108,13566.905825586,14095.7590458888,14698.5376181768,15065.7495726178,14650.3959291802,16113.1365187234,17097.4783599802,17975.7983946412,"PF",3,3,27,40,"PF",3,3,27,40,"PF",3,3,28,40,"PF",3,3,28,40,"PF",3,3,28,40,"PF",3,3,27,40,"PF",3,3,27,39,"PF",3,3,28,39,"PF",3,3,28,39,67,67,68,68,68,67,66,67,67,67.0290488711051,66.3628190203021,65.5316376977954,64.8596056100086,64.3344442628105,64.4433885080037,64.1895675336458,64.2482333198978,64.2740791080408,14.8735449195475,14.8719461154262,14.8710263924888,14.8685590720659,14.8642989983956,14.8585569288032,14.8492877481868,14.8371298449855,14.8256456686084,"Small","Small","Small","Small","Small","Small","Small","Small","Small",9.48117770614377,9.51538871102877,9.5536292542365,9.59550328606151,9.62017920622558,9.59222263996262,9.68739015112028,9.74668626728817,9.7967815985509,10.2663234785883,4.46149217581886,100.205336023376,100.045255322109,99.9532837066926,99.7069709197162,99.2831153471546,98.7146584110199,97.8038820091832,96.6219910950327,95.5187143453458,4.60722144095914,4.60562263683786,4.60470291390042,4.6022355934776,4.59797551980728,4.59223345021484,4.58296426959844,4.57080636639719,4.55932219002006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"DZA","Algeria","Africa","North Africa","MENA",2381741,0,0,"No",0,0,0,1,0,40019529,40850721,41689299,42505035,43294546,44042091,44761099,45477389,46164219,15239.5171455316,15511.6858766657,15427.6641894871,15343.4261221255,15199.1989965648,14194.1557478261,14496.8654697299,14782.2002968893,15159.324237194,"NF",6,5,11,23,"NF",6,5,11,24,"NF",6,5,11,24,"NF",6,5,10,25,"NF",6,5,10,24,"NF",6,5,10,24,"NF",6,5,10,22,"NF",6,5,10,22,"NF",6,5,10,22,34,35,35,35,34,34,32,32,32,67.8347315924298,67.4359477241074,66.6275845497842,65.9105994512543,65.4735122817292,65.2983857159504,64.8392230158283,64.2769663779283,63.9393211448471,17.5048781179352,17.5254350290533,17.5457550351318,17.5651330974658,17.5835372266097,17.6006563482557,17.616849994279,17.6327258153481,17.6477155754675,"Large","Large","Large","Large","Large","Large","Large","Large","Large",9.63164714537464,9.64934894637356,9.64391755278886,9.63844239562384,9.62899800785138,9.56058559181789,9.5816877305382,9.60117905330643,9.62637108281987,14.6833422908278,4.40814091913655,16.8026368106356,17.1516218598076,17.5037080018356,17.846203680417,18.177688506013,18.4915534476671,18.7934368178572,19.0941790060296,19.3825520910964,2.8215358271074,2.84209273822557,2.86241274430402,2.88179080663803,2.90019493578197,2.9173140574279,2.93350770345129,2.94938352452035,2.96437328463975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AND","Andorra","Europe","Southern Europe","Mediterranean",453,0,0,"No",0,0,0,0,0,72174,72181,73763,75162,76474,77380,78364,79705,80856,62105.1542389675,64402.8092369468,63239.6577711911,63048.5985572834,63215.899791913,55488.4902991095,59332.2029100127,63913.3835079105,64631.2963909271,"F",1,1,39,57,"F",1,1,39,57,"F",1,1,39,56,"F",1,1,39,57,"F",1,1,39,55,"F",1,1,39,55,"F",1,1,38,55,"F",1,1,38,55,"F",1,1,38,55,96,96,95,96,94,94,93,93,93,70.1373207415527,69.7190916475833,68.8894611094092,68.2551838225786,67.8636766213813,67.7276350844038,67.2398938717531,66.7796529657777,66.575608904838,11.1868351492221,11.1869321323541,11.2086125298546,11.2274010630722,11.2447060927649,11.2564836282545,11.2691199172079,11.2860875980677,11.3004250737545,"Micro","Micro","Micro","Micro","Micro","Micro","Micro","Micro","Micro",11.0365842634945,11.0729125328328,11.054686879721,11.0516611136644,11.0543111274802,10.9239308962299,10.9909074883462,11.0652840630034,11.0764540367116,6.11589212548303,4.47487161928901,159.324503311258,159.33995584989,162.832229580574,165.920529801325,168.816777041943,170.816777041943,172.988962472406,175.949227373068,178.490066225166,5.07094302373909,5.07104000687103,5.09272040437153,5.11150893758921,5.12881396728189,5.14059150277147,5.15322779172489,5.17019547258471,5.18453294827146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AGO","Angola","Africa","Southern Africa","Sub-Sahara",1246700,0,0,"Post Communist",0,1,0,0,1,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,9980.92988185425,9381.80972573042,9042.11712940232,8620.21466424389,8274.54256174643,7556.96792771976,7408.12659121059,7397.48642731105,7244.89305295156,"NF",6,5,10,18,"NF",6,6,10,14,"NF",6,6,10,14,"NF",6,6,10,16,"NF",6,5,11,20,"NF",6,5,11,21,"NF",6,5,10,21,"NF",6,5,10,20,"NF",6,5,10,18,28,24,24,26,31,32,31,30,28,52.8227104500499,52.546867852188,51.7278773904766,50.8012805529565,50.2898799071048,49.9807334442273,49.5441694876186,48.854843868181,48.6756626229589,17.1533348901739,17.1890993045721,17.2245054267208,17.2590377568105,17.292916599029,17.3255961855205,17.35740941152,17.3888396727244,17.4196462257967,"Large","Large","Large","Large","Large","Large","Large","Large","Large",9.20843153949953,9.14652795790364,9.10964862169703,9.0618652663922,9.02093891917003,8.93022532096245,8.91033286462636,8.90889554950567,8.88805209314846,14.0360106183331,3.59594137615014,22.5858650838213,23.4082537900056,24.2518962059838,25.1039985561883,25.969063928772,26.8317413972888,27.6990687414775,28.5834835966953,29.4777460495709,3.11732427184085,3.15308868623906,3.18849480838768,3.22302713847746,3.25690598069589,3.28958556718739,3.3213987931869,3.35282905439136,3.38363560746365,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATG","Antigua and Barbuda","Americas","Carribbean","Carribbean",442,0,1,"No",0,0,0,0,0,89409,89969,90468,90926,91364,91846,92349,92840,93316,25748.624442696,26637.4181596117,27143.0416282234,28884.1201297316,29636.8924377024,23915.1619842858,25733.2948269644,28033.1307782063,28967.2556775267,"F",2,2,31,49,"F",2,2,33,49,"F",2,2,33,50,"F",2,2,33,50,"F",2,2,33,51,"F",2,2,33,52,"F",2,2,33,52,"F",2,2,33,52,"F",2,2,33,52,80,82,83,83,84,85,85,85,85,75.8607858298846,75.302327116989,75.0921091046408,74.547384495226,74.3990712011234,74.0941789434065,73.8111272593853,73.5774626583473,73.4173855249524,11.4009766272355,11.4072204455333,11.4127514759997,11.41780126787,11.4226068067685,11.4278685404299,11.4333301571984,11.4386328603884,11.4437468619505,"Micro","Micro","Micro","Micro","Micro","Micro","Micro","Micro","Micro",10.1561364849639,10.1900722040272,10.2088759988935,10.2710472466031,10.2967752303813,10.0822679294256,10.1555409509822,10.2411423317569,10.2739213564705,6.0913098820777,4.13383222692014,202.282805429864,203.549773755656,204.678733031674,205.714932126697,206.705882352941,207.796380090498,208.934389140271,210.045248868778,211.122171945701,5.30966674515785,5.31591056345565,5.321441593922,5.32649138579235,5.33129692469083,5.33655865835217,5.34202027512073,5.34732297831068,5.35243697987283,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ARG","Argentina","Americas","South America","Latin America",2766889,0,0,"No",0,0,1,0,0,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,28669.2061336796,27802.1057201498,28334.904184742,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27627.9634764636,27104.9799978169,"F",2,2,31,49,"F",2,2,31,48,"F",2,2,33,49,"F",2,2,33,50,"F",2,2,34,50,"F",2,2,35,50,"F",2,2,35,49,"F",2,2,35,49,"F",2,2,35,50,80,79,82,83,84,85,84,84,85,69.8068171223639,69.593466022162,69.1400218680149,68.8371485696405,68.5922003488083,68.1661816465392,67.9431099775573,67.422231593648,67.0509532412963,17.5877428966047,17.5974320078605,17.6062445038107,17.6144741986154,17.6215832071462,17.6264298635136,17.629088657464,17.6311967447748,17.634066505994,"Large","Large","Large","Large","Large","Large","Large","Large","Large",10.2635788687026,10.2328670421393,10.2518496870819,10.2170973925374,10.189776890907,10.0806748323117,10.177334646293,10.2265837082326,10.2074727537424,14.8332341423157,2.36242446540638,15.7133199054968,15.8663079726003,16.0067476505201,16.1390218400521,16.2541630690642,16.3331326265709,16.3766168429597,16.4111765958085,16.4583403960188,2.75450875428903,2.76419786554484,2.77301036149496,2.7812400562997,2.78834906483047,2.79319572119789,2.79585451514835,2.79796260245907,2.80083236367828,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARM","Armenia","Asia","Caucasus","Central Asia",29800,1,0,"Post Communist",0,0,0,0,1,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19230.1899296884,"PF",5,4,16,30,"PF",5,4,16,30,"PF",5,4,16,29,"PF",5,4,15,30,"PF",4,4,20,31,"PF",4,4,21,32,"PF",4,4,22,33,"PF",4,4,23,32,"PF",4,4,23,31,46,46,45,45,51,53,55,55,54,55.1585351003033,54.6910495604152,54.0388119897342,53.6142724010657,53.1361049650819,52.8018749954632,52.2129070808847,51.4882456274646,51.2732526485062,14.9156550056105,14.9115528804297,14.9072324959276,14.9037357537459,14.9015440644255,14.9012064546992,14.9014765515981,14.9038031142255,14.9110849034189,"Small","Small","Small","Small","Small","Small","Small","Small","Small",9.48134108780176,9.48744121564341,9.56408226174042,9.61827211823437,9.69371426928076,9.61932833281975,9.67543856936315,9.7917835364512,9.86423671527291,10.3022636724935,4.44812635837528,100.825503355705,100.412751677852,99.9798657718121,99.6308724832215,99.4127516778524,99.3791946308725,99.4060402684564,99.6375838926175,100.365771812081,4.61339133311696,4.60928920793625,4.60496882343413,4.6014720812524,4.59928039193203,4.59894278220566,4.59921287910456,4.60153944173203,4.60882123092544,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUS","Australia","Oceania","Oceania","Not defined",7686848,0,0,"No",0,0,0,0,0,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948,55656.4879638382,56305.8964294545,56648.8086593728,57414.0582294386,57800.493403797,57023.6678163314,58145.5513641715,59845.7858045434,60408.9433675784,"F",1,1,39,58,"F",1,1,40,58,"F",1,1,40,58,"F",1,1,40,58,"F",1,1,40,58,"F",1,1,40,57,"F",1,1,40,57,"F",1,1,39,56,"F",1,1,38,57,97,98,98,98,98,97,97,95,95,61.8929545579158,61.6658228491559,61.3224246436549,61.0767016205824,61.0359027872991,60.7171578678972,60.3369960423723,59.7900474698386,59.6508909864123,16.9858679717348,17.0014873767159,17.0179556546894,17.0329156217935,17.0476905288993,17.0600248114125,17.0614337622454,17.0741607503832,17.0986354120713,"Large","Large","Large","Large","Large","Large","Large","Large","Large",10.9269539350625,10.9385545409609,10.9446262363916,10.9580444692096,10.9647525910219,10.9512216854826,10.9707046522546,10.9995262958845,11.0088924419614,15.855021374492,2.43361247820708,3.09827838406587,3.14705156131616,3.19930718026426,3.2475285058323,3.29586665431657,3.33677054626292,3.34147520544181,3.38427389223775,3.46812477624119,1.13084659724288,1.14646600222392,1.16293428019742,1.17789424730155,1.1926691544074,1.20500343692053,1.20641238775346,1.21913937589122,1.24361403757936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AUT","Austria","Europe","Western Europe","Western Europe",83858,1,0,"No",1,0,0,0,0,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,60970.9828044462,61592.2022820173,62555.6934724317,63798.2138732413,64629.8257818257,60295.4951497108,62912.1741140595,65602.2565334818,64336.037528916,"F",1,1,38,58,"F",1,1,37,58,"F",1,1,37,58,"F",1,1,37,57,"F",1,1,37,56,"F",1,1,37,56,"F",1,1,37,56,"F",1,1,37,56,"F",1,1,37,56,96,95,95,94,93,93,93,93,93,75.5023593057851,74.9548693579899,74.1539894219898,73.5195018378709,72.8155056768033,72.8102704171939,72.7201002619128,72.3185388119176,72.2035827335435,15.9722254762577,15.983039439245,15.989985650281,15.9948563695287,15.9993031059188,16.0034548732344,16.007811590075,16.0173744680457,16.0272691145854,"Small","Small","Small","Small","Small","Small","Small","Small","Small",11.0181533382479,11.028290555178,11.0438125344935,11.0634804732238,11.0764312826294,11.0070126726229,11.0494949710841,11.0913653727168,11.0718752124637,11.3368801711678,4.53796143629464,103.063500202724,104.184073075914,104.910276896659,105.422511865296,105.892341815927,106.332896086241,106.797169023826,107.823356149682,108.895525769754,4.63534530508994,4.64615926807722,4.65310547911327,4.65797619836096,4.662422934751,4.66657470206666,4.67093141890722,4.68049429687799,4.69038894341768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
