"iso3","country_name","landlocked","island_state","west_europe","sub_saharan_africa","latin_america","MENA","former_commu","Pop_2015","Pop_2016","Pop_2017","Pop_2018","Pop_2019","Pop_2020","Pop_2021","Pop_2022","Pop_2023","GDPpc2015","GDPpc2016","GDPpc2017","GDPpc2018","GDPpc2019","GDPpc2020","GDPpc2021","GDPpc2022","GDPpc2023","2015V_Dem","2016V_Dem","2017V_Dem","2018V_Dem","2019V_Dem","2020V_Dem","2021V_Dem","2022V_Dem","2023V_Dem","diffusion_2015","diffusion_2016","diffusion_2017","diffusion_2018","diffusion_2019","diffusion_2020","diffusion_2021","diffusion_2022","diffusion_2023","Pop_log_2015","Pop_log_2016","Pop_log_2017","Pop_log_2018","Pop_log_2019","Pop_log_2020","Pop_log_2021","Pop_log_2022","Pop_log_2023","Pop_cat_2015","Pop_cat_2016","Pop_cat_2017","Pop_cat_2018","Pop_cat_2019","Pop_cat_2020","Pop_cat_2021","Pop_cat_2022","Pop_cat_2023","GDPpc_log_2015","GDPpc_log_2016","GDPpc_log_2017","GDPpc_log_2018","GDPpc_log_2019","GDPpc_log_2020","GDPpc_log_2021","GDPpc_log_2022","GDPpc_log_2023","Asia","Americas","Africa","Europe","Oceania","carribbean","pacific_island","eastern_europe","north_america","east_asia","nordic","mediterranean","not_defined","srNorth_Africa","srSouthern_Africa","srWest_Africa","srEast_Africa","srCentral_Africa","srEast_Asia","srSouth_Asia","srSoutheast_Asia","srCaucasus","srCentral_Asia","srMiddle_East","srEast_Central_Europe","srNordic","srSouthern_Europe","srWestern_Europe","srNorth_America","srCarribbean","srCentral_America","srSouth_America","srOceania"
"AFG","Afghanistan",1,0,0,0,0,1,1,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1992.42439419795,0.225,0.208,0.209,0.199,0.184,0.191,0.034,0.028,0.03,0.333685723521584,0.331304817366775,0.329022794856149,0.330657354243577,0.329783022899819,0.324593116230018,0.319180080796463,0.313745935300245,0.30835974170015,17.3369106824658,17.3622678816492,17.3903512547297,17.4194593507159,17.449303242078,17.4808393341072,17.5044003120252,17.51875735573,17.5401132942282,"Large","Large","Large","Large","Large","Large","Large","Large","Large",7.99553984794554,7.99253412500869,7.99057651465584,7.97329054246104,7.98181703567384,7.9264891433127,7.67050621041737,7.59171547216147,7.59710746474893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",0,0,0,1,0,0,1,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,9980.92988185425,9381.80972573042,9042.11712940232,8620.21466424389,8274.54256174643,7556.96792771976,7408.12659121059,7397.48642731105,7244.89305295156,0.134,0.134,0.15,0.177,0.184,0.182,0.169,0.175,0.173,0.355525356444545,0.354099709490086,0.351597501992624,0.349863172083698,0.346900805061847,0.343795740435453,0.336983370669887,0.333666719991227,0.326552844652304,17.1533348901739,17.1890993045721,17.2245054267208,17.2590377568105,17.292916599029,17.3255961855205,17.35740941152,17.3888396727244,17.4196462257967,"Large","Large","Large","Large","Large","Large","Large","Large","Large",9.20843153949953,9.14652795790364,9.10964862169703,9.0618652663922,9.02093891917003,8.93022532096245,8.91033286462636,8.90889554950567,8.88805209314846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALB","Albania",0,0,0,0,0,0,1,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,13110.6178808108,13566.905825586,14095.7590458888,14698.5376181768,15065.7495726178,14650.3959291802,16113.1365187234,17097.4783599802,17975.7983946412,0.442,0.443,0.441,0.432,0.432,0.447,0.439,0.433,0.402,0.454907888615443,0.454682314819578,0.444145747388217,0.444565273211583,0.449432260573474,0.442012364616664,0.411090461679531,0.407777160793607,0.400609405861555,14.8735449195475,14.8719461154262,14.8710263924888,14.8685590720659,14.8642989983956,14.8585569288032,14.8492877481868,14.8371298449855,14.8256456686084,"Small","Small","Small","Small","Small","Small","Small","Small","Small",9.48117770614377,9.51538871102877,9.5536292542365,9.59550328606151,9.62017920622558,9.59222263996262,9.68739015112028,9.74668626728817,9.7967815985509,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARE","United Arab Emirates",0,0,0,0,0,1,0,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,70234.7317531027,70573.992709624,68871.8495814593,68854.9699016986,68887.8454107816,65784.6769388646,67401.1212950201,68867.8259305075,68577.5405661277,0.09,0.091,0.092,0.094,0.092,0.09,0.082,0.086,0.078,0.311930998610144,0.309815266353225,0.307364905477063,0.308472543196355,0.309044292129058,0.304223058277861,0.297016854393154,0.293156435087322,0.28966843869103,15.956192649385,16.0054973388639,16.0372353174532,16.0505340047796,16.0610791682221,16.0563306666757,16.0746819675786,16.125565382916,16.1653370926665,"Small","Small","Small","Small","Small","Small","Small","Large","Large",11.159598221981,11.1644169803967,11.140002804305,11.1397576860353,11.1402350323075,11.0941422169247,11.1184169331866,11.1399443803115,11.1357203631127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ARG","Argentina",0,0,0,0,1,0,0,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,28669.2061336796,27802.1057201498,28334.904184742,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27627.9634764636,27104.9799978169,0.598,0.62,0.614,0.641,0.631,0.654,0.656,0.659,0.69,0.517795401012476,0.514595375193802,0.514184670606572,0.512084116457258,0.506368049904008,0.498143767191308,0.491251132153666,0.480681109995125,0.482386671623568,17.5877428966047,17.5974320078605,17.6062445038107,17.6144741986154,17.6215832071462,17.6264298635136,17.629088657464,17.6311967447748,17.634066505994,"Large","Large","Large","Large","Large","Large","Large","Large","Large",10.2635788687026,10.2328670421393,10.2518496870819,10.2170973925374,10.189776890907,10.0806748323117,10.177334646293,10.2265837082326,10.2074727537424,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARM","Armenia",1,0,0,0,0,0,1,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2990900,13112.7600902915,13192.9940731731,14243.8749003795,15037.0452420712,16215.3607965094,15052.9359791136,15921.705281964,17886.1783877168,19230.1899296884,0.207,0.209,0.224,0.408,0.631,0.584,0.541,0.446,0.422,0.387841927326803,0.386346657369613,0.381766662103853,0.3811981181345,0.376999512541833,0.371540935690136,0.362716388443569,0.358490288350664,0.353239117581274,14.9156550056105,14.9115528804297,14.9072324959276,14.9037357537459,14.9015440644255,14.9012064546992,14.9014765515981,14.9038031142255,14.9110849034189,"Small","Small","Small","Small","Small","Small","Small","Small","Small",9.48134108780176,9.48744121564341,9.56408226174042,9.61827211823437,9.69371426928076,9.61932833281975,9.67543856936315,9.7917835364512,9.86423671527291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AUS","Australia",0,0,0,0,0,0,0,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26658948,55656.4879638382,56305.8964294545,56648.8086593728,57414.0582294386,57800.493403797,57023.6678163314,58145.5513641715,59845.7858045434,60408.9433675784,0.825,0.832,0.827,0.817,0.78,0.795,0.781,0.8,0.804,0.409291926019801,0.408445111487021,0.407983310652387,0.408825462972945,0.407155909445457,0.40047913713239,0.394591638332362,0.392035594841271,0.391720543805085,16.9858679717348,17.0014873767159,17.0179556546894,17.0329156217935,17.0476905288993,17.0600248114125,17.0614337622454,17.0741607503832,17.0986354120713,"Large","Large","Large","Large","Large","Large","Large","Large","Large",10.9269539350625,10.9385545409609,10.9446262363916,10.9580444692096,10.9647525910219,10.9512216854826,10.9707046522546,10.9995262958845,11.0088924419614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AUT","Austria",1,0,1,0,0,0,0,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,60970.9828044462,61592.2022820173,62555.6934724317,63798.2138732413,64629.8257818257,60295.4951497108,62912.1741140595,65602.2565334818,64336.037528916,0.805,0.784,0.786,0.779,0.792,0.789,0.783,0.757,0.773,0.566218095157153,0.559396440672506,0.54943687475396,0.540536358403016,0.547195185798096,0.543870592329866,0.531500943735898,0.533049852124401,0.521793936277069,15.9722254762577,15.983039439245,15.989985650281,15.9948563695287,15.9993031059188,16.0034548732344,16.007811590075,16.0173744680457,16.0272691145854,"Small","Small","Small","Small","Small","Small","Small","Small","Small",11.0181533382479,11.028290555178,11.0438125344935,11.0634804732238,11.0764312826294,11.0070126726229,11.0494949710841,11.0913653727168,11.0718752124637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AZE","Azerbaijan",1,0,0,0,0,0,1,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,20694.7787550356,19830.3223176308,19675.9598908264,19798.8335387146,20122.7128524509,19126.094903135,20111.3756952109,21051.2687619289,21262.2979971542,0.065,0.062,0.068,0.059,0.065,0.065,0.066,0.063,0.064,0.369896379537856,0.367894688592442,0.364633942466724,0.371744728758213,0.378885491057624,0.371554728697969,0.360599735982039,0.352086393861537,0.34670938874434,16.0824001808279,16.0935787529292,16.1033913709743,16.112054540138,16.1205210074021,16.127364660656,16.1317766380142,16.1321717166766,16.13337413818,"Small","Small","Small","Small","Large","Large","Large","Large","Large",9.93763671338085,9.89496747542263,9.88715285943106,9.8933783027611,9.90960444874526,9.85880890689315,9.90904088894066,9.95471611101998,9.9646907362312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BDI","Burundi",1,0,0,1,0,0,0,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,918.557192941296,897.459046433604,880.993440128706,868.555507579394,855.732720083122,833.920257458019,836.665571337829,829.38715963357,828.861074309521,0.061,0.045,0.047,0.044,0.054,0.052,0.072,0.081,0.059,0.326404472599343,0.322592876867847,0.318303093012028,0.317639359997703,0.315978154127193,0.312789509393285,0.30717517624287,0.306020342299955,0.299908379290285,16.2177219574182,16.2349405578206,16.2584454205292,16.2886352388071,16.3214719919492,16.350558522199,16.377801076151,16.4048595770427,16.4321360211471,"Large","Large","Large","Large","Large","Large","Large","Large","Large",6.82280417048069,6.79956748860667,6.78105017997055,6.76683149564739,6.75195808449023,6.72613778322865,6.72942443429889,6.72068706617999,6.72005255883551,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEL","Belgium",0,0,1,0,0,0,0,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,57482.4215529381,57874.7130652423,58502.2552655238,59330.2315254643,60451.999688567,57307.0206161273,60611.5271350127,62668.9539715345,62876.2387717275,0.841,0.84,0.838,0.838,0.839,0.825,0.826,0.834,0.814,0.605310184434704,0.601891078654223,0.597928359058695,0.595274658914951,0.593989792880021,0.587607085018319,0.577305553116822,0.572598749882339,0.569111219499151,16.2380271326065,16.243090132631,16.2469424128147,16.2514942597675,16.2568988730384,16.2612088411894,16.2653248611548,16.2734065146548,16.2825436735589,"Large","Large","Large","Large","Large","Large","Large","Large","Large",10.9592344679231,10.9660358335403,10.9768205840243,10.9908742615789,11.0096049355383,10.9561784190391,11.0122403707179,11.0456214520236,11.0489236093428,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BEN","Benin",0,0,0,1,0,0,1,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,2952.00218338705,2962.66381572265,3041.77929984989,3155.4510650627,3281.10470051465,3317.8597222557,3464.2886286745,3588.33525858047,3721.2245272339,0.534,0.587,0.595,0.485,0.341,0.287,0.275,0.294,0.325,0.378956684796043,0.379032964831968,0.37657034286096,0.373331535094614,0.364951396992815,0.365837214447079,0.349199720209981,0.341944759198592,0.333728111964866,16.2456689166436,16.2749149383116,16.3037267252528,16.3318631440932,16.3592170283764,16.3858430158917,16.4117660326427,16.437240125277,16.4624676025048,"Large","Large","Large","Large","Large","Large","Large","Large","Large",7.99023892534985,7.99384408036106,8.02019791918462,8.05688673308047,8.09593544361155,8.10707519205548,8.15026258857683,8.18544365765983,8.22180806708893,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BFA","Burkina Faso",1,0,0,1,0,0,0,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,2101.70266192027,2162.72578977814,2232.28781490944,2316.39432079045,2391.53626844484,2380.93171826574,2486.43093147762,2466.05331390054,2482.07225343805,0.31,0.51,0.518,0.495,0.482,0.485,0.455,0.236,0.182,0.400544589344196,0.398315529535162,0.400206386315984,0.396160212789458,0.390875929824842,0.385777373513432,0.374515876600207,0.369319508115172,0.360463887318249,16.7481692102241,16.777420035362,16.8059491949149,16.8329205624534,16.8582195428518,16.8825718387805,16.9063367606694,16.9294274754082,16.952124842035,"Large","Large","Large","Large","Large","Large","Large","Large","Large",7.65050308658834,7.67912464481364,7.71078226452014,7.74776708360905,7.77969122856874,7.77524716832081,7.81860360036204,7.81037430307718,7.81684907631507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGD","Bangladesh",0,0,0,0,0,0,0,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,5352.71133299566,5682.53553494306,6005.70718781048,6392.5933402409,6838.32611608243,7015.19792797056,7441.06913961254,7888.16389098304,8242.39798977242,0.111,0.111,0.108,0.103,0.096,0.096,0.094,0.096,0.096,0.376914481206953,0.375213455273982,0.373487192008758,0.374350120599786,0.374604563882921,0.368272823126644,0.360902813411229,0.357198799547913,0.353426970533043,18.8868217917759,18.8957461159363,18.9042552890932,18.9124648410716,18.9209289535896,18.9292920619519,18.9374418418888,18.9476841803635,18.9599013279099,"Huge","Huge","Huge","Huge","Huge","Huge","Huge","Huge","Huge",8.5853585027289,8.64515280910672,8.70046549407649,8.76289530858254,8.83029826079681,8.85583420710226,8.91476981906388,8.97311867332107,9.01704659874221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGR","Bulgaria",0,0,0,0,0,0,1,7177991,7127822,7075947,7025037,6975761,6934015,6877743,6643324,6446596,23870.0116396386,24765.5618018115,25632.1520823556,26476.1249974032,27673.376233555,26944.722097894,29278.7949805816,31536.1700739278,33111.7332099418,0.571,0.567,0.53,0.517,0.51,0.502,0.555,0.616,0.588,0.460440163990228,0.456839181194545,0.444315076519876,0.444424258470769,0.450747398576482,0.446597492714606,0.426013681687637,0.419248992934382,0.410903295600501,15.7865300968578,15.7795162758793,15.7722118441264,15.7649910400741,15.757951983663,15.7519495684783,15.743801103763,15.7091229986027,15.6790627975239,"Small","Small","Small","Small","Small","Small","Small","Small","Small",10.080378206959,10.1172093300794,10.1516027831509,10.1839986623866,10.2282260831746,10.2015427166345,10.2846188121936,10.3588904223868,10.4076429761945,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHR","Bahrain",0,1,0,0,0,1,0,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,54149.9131524721,54107.0752236423,53859.7749589601,54893.0724411368,56749.9628370612,53814.2452592358,54954.6757895532,57465.1729784449,57213.0913557711,0.044,0.044,0.042,0.044,0.052,0.052,0.054,0.055,0.054,0.29936136553038,0.297372931717472,0.295119533856606,0.29625692702858,0.296431931734303,0.291967726070138,0.284471946730668,0.280948482604479,0.277817543874976,14.1305563066839,14.1687879367094,14.2217193894416,14.2230342124778,14.2100872687058,14.2022711556252,14.2238814402186,14.2373036362824,14.2710722780545,"Small","Small","Small","Small","Small","Small","Small","Small","Small",10.8995116485954,10.8987202367575,10.8941391880977,10.9131424344926,10.9464102804899,10.8932934928716,10.9142640479233,10.9589343559514,10.9545380210373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BIH","Bosnia and Herzegovina",0,0,0,0,0,0,1,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,14207.6170364809,14860.5944562545,15541.0150248586,16334.4225054088,17014.3599695707,16732.3454396879,18270.3351779512,19280.8873000514,19829.2822572462,0.368,0.369,0.367,0.348,0.35,0.343,0.34,0.35,0.346,0.486193864981242,0.4827343018083,0.471491536362507,0.469446819949239,0.473369609129467,0.466543015772044,0.441068885883105,0.439032311488334,0.430168953115411,15.0735569730138,15.0605301955323,15.0476864887369,15.0354551317999,15.0231365811528,15.0092357342486,14.9925972482335,14.9801608679574,14.973985766663,"Small","Small","Small","Small","Small","Small","Small","Small","Small",9.56153351079217,9.60646832125725,9.65123793870355,9.701029970206,9.74181297056902,9.72509897780008,9.81303399501391,9.86686958889246,9.89491502606536,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLR","Belarus",0,0,0,0,0,0,1,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,25513.2132931209,24846.8301529772,25503.9809859339,26363.4629821252,26798.8206427959,26731.4953813506,27611.1801135156,26537.5083074865,27718.3231175409,0.102,0.109,0.11,0.112,0.112,0.047,0.036,0.038,0.036,0.529183298980944,0.52078218620766,0.512532920623227,0.511051090552312,0.514175801351763,0.50877352162394,0.497491789217256,0.491243902738156,0.486903892581431,16.0626966766318,16.0635738875105,16.062476064281,16.060337822211,16.0583199562013,16.0540852036985,16.0458028764898,16.037760592221,16.0323523423573,"Small","Small","Small","Small","Small","Small","Small","Small","Small",10.1469517653013,10.1204854641521,10.146589836057,10.1797343526026,10.1961131596648,10.193597751502,10.2259760462605,10.1863144190585,10.2298489578788,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
